country,iso3,index,cocaine,arms,wildlife,pharma_seizure,opiates,issues,issues_normalized,significant_trades
Angola,AGO,0.5660416667,0.6,0.2,0.6,1,0,2,0.25,"Coca, Wildlife"
Benin,BEN,0.02604166667,1,0.6,0.75,1,1,8,1,"Arms, Cannabis, Coca, Opiates, Synthetic Drugs, Wildlife, Black Market Pharmaceuticals, Various Contraband"
Cote d'Ivoire,CIV,0.08952380952,1,0.05,0.6,1,1,6,0.75,"Cannabis, Coca, Opiates, Synthetic Drugs, Wildlife, Black Market Pharmaceuticals"
Cameroon,CMR,0.07708333333,0.6,0.45,1,1,0.6,8,1,"Arms, Cannabis, Coca, Opiates, Synthetic Drugs, Wildlife, Black Market Pharmaceuticals, Black Market Food Products"
DRC,COD,0.4083333333,0.15,0.3,0.4,1,0.15,2,0.25,"Black Market Pharmaceuticals, Illicitly Mined Minerals"
Congo,COG,0.3480555556,0.3,0.1,1,1,0,3,0.375,"Wildlife, Black Market Pharmaceuticals, Illicitly Mined Minerals"
Comoros,COM,0.09805555556,1,0.3,0.4,,1,4,0.5,"Cannabis, Coca, Opiates, Synthetic Drugs"
Cabo Verde,CPV,0.40375,1,0,0,,0.5,3,0.375,"Coca, Opiates, Black Market Pharmaceuticals"
Djibouti,DJI,0.535,0,0.3,0.2,,0.3,2,0.25,"Black Market Pharmaceuticals, Black Market Fuel"
Gabon,GAB,0.615,0,0.3,0.6,1,0,2,0.25,"Wildlife, Black Market Pharmaceuticals"
Ghana,GHA,0.03571428571,1,0.6,0.6,1,1,7,0.875,"Arms, Cannabis, Coca, Opiates, Synthetic Drugs, Wildlife, Black Market Pharmaceuticals"
Guinea,GIN,0.09666666667,1,0,1,1,1,5,0.625,"Coca, Opiates, Synthetic Drugs, Wildlife, Black Market Pharmaceuticals"
The Gambia,GMB,0.3866666667,0.75,0.15,1,,0,3,0.375,"Coca, Wildlife, Black Market Pharmaceuticals"
Guinea-Bissau,GNB,0.4083333333,1,0.05,0.4,1,0,3,0.375,"Coca, Opiates, Black Market Pharmaceuticals"
Equatorial Guinea,GNQ,0.5183333333,0,0.05,0.6,,0,2,0.25,"Wildlife, Black Market Timber"
Kenya,KEN,0.04277777778,1,0.8,1,1,1,6,0.75,"Arms, Coca, Opiates, Wildlife, Black Market Pharmaceuticals, Various Contraband"
Liberia,LBR,0.2627777778,1,0.05,0.6,1,1,5,0.625,"Coca, Opiates, Synthetic Drugs, Wildlife, Black Market Pharmaceuticals"
Madagascar,MDG,0.01388888889,1,0.75,1,,1,6,0.75,"Arms, Cannabis, Coca, Opiates, Wildlife, Black Market Pharmaceuticals"
Mozambique,MOZ,0.03571428571,1,0.1,1,1,1,6,0.75,"Cannabis, Coca, Opiates, Synthetic Drugs, Wildlife, Black Market Pharmaceuticals"
Mauritus,MUS,0.36,1,0.1,0.05,,1,3,0.375,"Coca, Opiates, Black Market Pharmaceuticals"
Namibia,NAM,0.725952381,0.4,0.1,0.2,1,0.05,1,0.125,Black Market Pharmaceuticals
Nigeria,NGA,0.01785714286,1,0.3,1,1,1,6,0.75,"Cannabis, Coca, Opiates, Synthetic Drugs, Wildlife, Black Market Pharmaceuticals"
Senegal,SEN,0.05261904762,1,0.1,0.4,1,1,5,0.625,"Cannabis, Coca, Opiates, Synthetics, Black Market Pharmaceuticals"
Sierra Leone,SLE,0.4238095238,1,0.3,0.6,1,0.05,3,0.375,"Coca, Wildlife, Black Market Pharmaceuticals"
Somalia,SOM,0.2897222222,0.05,1,0.6,,0.45,4,0.5,"Arms, Opiates, Wildlife, Various Contraband"
Sao Tome and Principe,STP,0.6538888889,0.6,0,0.05,,0,2,0.25,"Coca, Black Market Pharmaceuticals"
Seychelles,SYC,0.4438095238,0.2,0.05,0.1,,1,3,0.375,"Cannabis, Opiates, Black Market Pharmaceuticals"
Togo,TGO,0.1305555556,1,0.6,1,1,0.8,5,0.625,"Arms, Coca, Opiates, Wildlife, Black Market Pharmaceuticals"
Tanzania,TZA,0.2075,0.45,0.6,1,1,1,5,0.625,"Arms, Coca, Opiates, Wildlife, Black Market Pharmaceuticals"
South Africa,ZAF,0.3928571429,0.3,0.05,1,1,0.3,3,0.375,"Synthetic Drugs, Wildlife, Black Market Pharmaceuticals"