lat,lon,class
11.9622,43.29741,northerly
12.15345,43.33145,northerly
12.40975,43.37951,northerly
12.5559,43.4729,northerly
12.65642,43.56623,northerly
12.71536,43.70361,northerly
11.27749,49.18767,northerly
11.86197,48.97155,northerly
12.57064,48.63098,northerly
13.31479,48.26293,northerly
13.98737,47.93884,northerly
11.27749,49.18767,northerly
11.88347,49.37805,northerly
12.61889,49.58129,northerly
13.37893,49.72412,northerly
14.07264,49.83398,northerly
14.72176,49.90539,northerly
12.55992,43.2312,southerly
12.67785,43.24905,southerly
12.75287,43.28132,southerly
12.79706,43.30671,southerly
12.85331,43.36303,southerly
12.89213,43.43444,southerly
11.9622,43.29741,southerly
11.97753,43.47839,southerly
12.01986,43.68025,southerly
12.09305,43.83677,southerly
12.20851,43.92053,southerly
12.38024,43.98101,southerly
12.60013,44.00024,southerly
10.94119,45.68115,southerly
11.74905,45.65917,southerly
12.16822,45.65917,southerly
12.86535,45.62622,southerly
13.20786,45.61523,southerly