country,iso3,SSI_RANK,SSI_FINAL,internationalCooperation,ruleOfLaw,coastalWelfare,blueEconomy,fisheries,piracy,illicitTrade,maritimeEnforcement,maritimeMixedMigration
Angola,AGO,20,0.490126905,0.623015873,0.2602066667,0.4571186027,0.553313894,0.65306,0.2347165,0.5660416667,0.4667327072,0.5969362349
Benin,BEN,27,0.4592792029,0.6706349206,0.6231133333,0.6326652978,0.376804619,0.46514,0.2351969,0.02604166667,0.5361947264,0.5677213625
Cabo Verde,CPV,1,0.7110351183,0.869047619,0.7636466667,0.7517458867,0.611611289,0.68528,0.9848308,0.40375,0.5667735379,0.7626302656
Cameroon,CMR,25,0.4714257177,0.8571428571,0.30698,0.5569275768,0.441233994,0.37078,0.3465413,0.07708333333,0.7937472402,0.4923951575
Comoros,COM,21,0.488154703,0.5238095238,0.4190266667,0.6529003191,0.3884171574,0.6836,0.8793565,0.09805555556,0.3092181234,0.4390084809
Congo,COG,24,0.4761275469,0.7896825397,0.2626933333,0.6587148211,0.4867673534,0.40098,0.2682613,0.3480555556,0.4618108316,0.608182187
Cote d'Ivoire,CIV,18,0.5085200334,0.8373015873,0.5266333333,0.5278977921,0.4287542677,0.51436,0.6832582,0.08952380952,0.5249086199,0.4440426906
Djibouti,DJI,17,0.519448662,0.5238095238,0.3720733333,0.6707485455,0.4246581313,0.44458,0.743515,0.535,0.5495845849,0.4110688395
DRC,COD,29,0.3685434168,0.5595238095,0.2216866667,0.4624271345,0.1986281081,0.24058,0.3894875,0.4083333333,0.356449357,0.4797748418
Equatorial Guinea,GNQ,19,0.4997853804,0.6904761905,0.2516,0.6667390687,0.5139057051,0.4441,0.2658095,0.5183333333,0.5989164384,0.548188188
Gabon,GAB,10,0.5597258799,0.753968254,0.40538,0.7317995878,0.5064693197,0.4957,0.4220911,0.615,0.5915427728,0.5155818846
Ghana,GHA,14,0.5447041186,0.9166666667,0.6388066667,0.7483579958,0.4762560343,0.69314,0.2446803,0.03571428571,0.6360907934,0.5126243247
Guinea,GIN,23,0.4804675213,0.9166666667,0.39998,0.607487307,0.2512540165,0.4821,0.7784615,0.09666666667,0.3780936775,0.4134978577
Guinea-Bissau,GNB,16,0.5296173006,0.7896825397,0.3423866667,0.6059644506,0.389558943,0.49544,0.8874647,0.4083333333,0.2804174265,0.5673076453
Kenya,KEN,13,0.5458448128,0.6666666667,0.5010933333,0.4950014366,0.2837836042,0.7115,1,0.04277777778,0.6503492409,0.5614312553
Liberia,LBR,22,0.4825642607,0.7023809524,0.4544466667,0.6786412917,0.3480695688,0.31022,0.8751097,0.2627777778,0.2039380209,0.5074943685
Madagascar,MDG,15,0.538422647,0.619047619,0.4502333333,0.7359057206,0.3918478745,0.75658,0.8621063,0.01388888889,0.3799312795,0.6362628069
Mauritus,MUS,5,0.6756409784,0.6666666667,0.7090066667,0.8451054844,0.5742142628,0.64008,0.9880281,0.36,0.6598476978,0.6378199273
Mozambique,MOZ,12,0.5548385542,0.8333333333,0.5334533333,0.5461974574,0.4745432977,0.7593,0.9009054,0.03571428571,0.3432208322,0.566879048
Namibia,NAM,2,0.7025909926,0.8333333333,0.70294,0.6958254919,0.4910397958,0.73098,0.9973623,0.725952381,0.4569840846,0.6889015469
Nigeria,NGA,26,0.4658652976,0.869047619,0.44986,0.3228477236,0.5598538452,0.68198,0,0.01785714286,0.8460743067,0.4452670408
Sao Tome and Principe,STP,8,0.5925240784,0.9047619048,0.68056,0.7485151683,0.502059583,0.6346,0.2279224,0.6538888889,0.3892267004,0.5911820599
Senegal,SEN,6,0.6198442159,0.9166666667,0.6775333333,0.6920728485,0.4474392583,0.70006,0.9283977,0.05261904762,0.6854679811,0.4783411072
Seychelles,SYC,4,0.685140651,0.6666666667,0.6477466667,0.8732346312,0.6046528501,0.75886,0.95955,0.4438095238,0.519456177,0.6922893436
Sierra Leone,SLE,9,0.5832834853,0.7896825397,0.4958066667,0.6569920502,0.3754824213,0.72404,0.8152872,0.4238095238,0.3754044599,0.5930465057
Somalia,SOM,30,0.3456019379,0.2619047619,0.2582,0.2497814992,0.2807754519,0.62372,0.6954698,0.2897222222,0.1940985844,0.2567451216
South Africa,ZAF,3,0.6973205843,0.8333333333,0.6151866667,0.6825871767,0.5190065686,0.85864,1,0.3928571429,0.7406778344,0.6335965362
Tanzania,TZA,7,0.6029491316,0.7380952381,0.4470866667,0.7304774883,0.4390827691,0.79516,0.9696879,0.2075,0.4946678741,0.6047842481
The Gambia,GMB,11,0.558995121,0.8214285714,0.39554,0.664393625,0.441959233,0.43396,0.9414284,0.3866666667,0.3933794396,0.5522001535
Togo,TGO,28,0.4524106256,0.7023809524,0.5006533333,0.6458521375,0.303011646,0.37298,0.3501371,0.1305555556,0.4869779648,0.579146941